Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782766903,21077728,50,0,0,0,0.00,0.76
1782766904,21083333,54,1,1,0,0.00,1.01
1782766905,21076917,58,1,1,0,0.00,1.01
1782766906,21081239,69,2,2,0,0.00,1.51
1782766907,21079268,52,0,0,0,0.00,1.26
1782766908,21086213,39,1,2,0,0.00,1.25
1782766909,21080199,52,0,0,0,0.00,0.76
1782766910,21075808,53,1,2,0,0.00,1.26
1782766911,21076427,34,0,0,0,0.00,0.75
1782766912,21075232,41,0,0,0,0.00,1.01
1782766913,21080557,61,1,1,0,0.00,1.50
1782766914,21081360,69,0,0,0,0.00,1.26
1782766915,21081131,38,0,0,0,0.00,0.75
1782766916,21081379,49,1,1,0,0.00,0.76
1782766917,21082262,42,0,0,0,0.00,1.25
1782766918,21084872,53,0,0,0,0.00,1.25
1782766919,21078326,48,0,0,0,0.00,1.26
1782766920,21080382,40,0,0,0,0.00,0.76
1782766921,21079843,45,1,1,0,0.00,1.25
1782766922,21078532,53,0,2,0,0.00,1.50
1782766923,21074886,21,0,0,0,0.00,0.50
1782766924,21078541,59,0,0,0,0.00,1.01
1782766925,21080643,35,1,1,0,0.00,0.50
1782766926,21087598,44,0,0,0,0.00,0.51
1782766927,21076228,57,0,0,0,0.00,1.26
1782766928,21075961,55,1,1,0,0.00,0.51
1782766929,21077161,39,1,3,0,0.00,1.00
1782766930,21085193,48,0,1,0,0.00,1.25
1782766931,21081828,59,0,0,0,0.00,0.51
1782766932,21076701,56,2,2,0,0.00,0.51
1782766933,21081323,52,0,0,0,0.00,1.01
1782766934,21081370,73,0,0,0,0.00,2.01
1782766935,21081009,57,0,0,0,0.00,1.75
1782766936,21078314,66,0,0,0,0.00,1.01
1782766937,21079065,55,0,0,0,0.00,1.51
1782766938,21078262,68,0,0,0,0.00,1.52
1782766939,21113666,48,1,1,0,0.00,1.26
1782766940,21078766,46,0,0,0,0.00,0.76
1782766941,21081271,56,1,2,0,0.00,1.01
1782766942,21081389,59,0,1,0,0.00,1.01
1782766943,21083391,48,0,0,0,0.00,1.75
1782766944,21078110,63,1,2,0,0.00,1.01
1782766945,21076014,93,1,1,0,0.00,1.02
1782766946,21079136,90,1,1,0,0.00,1.51
1782766947,21109610,88,0,0,0,0.00,2.01
1782766948,21083947,94,0,0,0,0.00,1.76
1782766949,21080584,95,0,0,0,0.00,1.52
1782766950,21074730,98,0,0,0,0.00,2.51
1782766951,21084978,104,0,0,0,0.00,2.53
1782766952,21077943,92,0,0,0,0.00,1.51
1782766953,21071125,87,0,0,0,0.00,1.01
1782766954,21083170,90,1,1,0,0.00,1.51
1782766955,21087306,94,0,1,0,0.00,1.52
1782766956,21076191,92,0,0,0,0.00,1.02
1782766957,21117688,46,0,0,0,0.00,1.25
1782766958,21079143,48,0,0,0,0.00,1.50
1782766959,21078209,54,0,0,0,0.00,0.76
1782766960,21081295,42,0,0,0,0.00,0.75
1782766961,21111003,37,0,0,0,0.00,1.00
1782766962,21080043,30,0,1,0,0.00,0.00
1782766963,21079925,58,1,1,0,0.00,1.50
1782766964,21169762,44,0,0,0,0.00,0.51
1782766965,21081068,66,0,0,0,0.00,1.75
1782766966,21191755,51,0,0,0,0.00,1.26
1782766967,21083337,49,0,0,0,0.00,0.76
1782766968,21083625,42,0,0,0,0.00,1.75
1782766969,21079130,48,0,0,0,0.00,0.51
1782766970,21080841,49,2,2,0,0.00,0.51
1782766971,21106467,53,0,0,0,0.00,1.01
1782766972,21082621,44,0,0,0,0.00,1.50
1782766973,21111961,46,0,0,0,0.00,0.51
1782766974,21075633,50,0,0,0,0.00,1.01
1782766975,21076447,47,0,0,0,0.00,0.76
1782766976,21080395,50,0,0,0,0.00,0.76
1782766977,21077216,49,0,0,0,0.00,1.50
1782766978,21080347,47,1,1,0,0.00,0.76
1782766979,21080153,50,0,1,0,0.00,0.76
1782766980,21079342,43,1,1,0,0.00,1.01
1782766981,21116664,41,0,0,0,0.00,0.25
1782766982,21080713,47,0,1,0,0.00,1.01
1782766983,21110031,12,0,0,0,0.00,0.25
1782766984,21082690,41,2,2,0,0.00,0.76
1782766985,21081034,44,0,0,0,0.00,1.25
1782766986,21078553,66,0,0,0,0.00,1.75
1782766987,21084674,54,1,2,0,0.00,1.01
1782766988,21078615,48,0,0,0,0.00,0.76
1782766989,21074752,67,0,0,0,0.00,1.75
1782766990,21073709,49,0,0,0,0.00,1.01
1782766991,21078559,60,0,0,0,0.00,1.26
1782766992,21076908,52,0,0,0,0.00,1.50
1782766993,21078597,51,0,0,0,0.00,1.01
1782766994,21074722,57,0,0,0,0.00,1.50
1782766995,21078146,36,1,1,0,0.00,0.50
1782766996,21081994,49,0,0,0,0.00,0.51
1782766997,21082309,49,1,3,0,0.00,0.76
1782766998,21079559,48,0,1,0,0.00,1.26
1782766999,21077962,54,1,1,0,0.00,1.50
1782767000,21078092,46,0,0,0,0.00,1.25
1782767001,21080782,31,1,0,0,0.00,0.50
1782767002,21080824,49,0,0,0,0.00,1.75
1782767003,21081186,44,0,1,0,0.00,1.25
1782767004,21075201,43,1,1,0,0.00,1.25
1782767005,21079693,49,0,0,0,0.00,1.50
1782767006,21078047,49,0,0,0,0.00,0.76
1782767007,21078075,47,0,0,0,0.00,1.00
1782767008,21078892,43,0,0,0,0.00,1.01
1782767009,21076332,64,1,0,0,0.00,1.01
1782767010,21079508,42,0,1,0,0.00,1.01
1782767011,21079411,51,0,1,0,0.00,0.76
1782767012,21074478,43,0,0,0,0.00,1.00
1782767013,21074656,46,1,1,0,0.00,1.25
1782767014,21080415,54,0,0,0,0.00,1.01
1782767015,21108786,54,0,1,0,0.00,1.26
1782767016,21075133,52,0,0,0,0.00,1.26
1782767017,21075811,53,0,0,0,0.00,0.51
1782767018,21075402,46,1,2,0,0.00,1.25
1782767019,21074428,41,0,1,0,0.00,0.50
1782767020,21079451,41,0,0,0,0.00,1.50
1782767021,21076826,45,1,1,0,0.00,0.76
1782767022,21078791,49,0,0,0,0.00,0.51
1782767023,21083420,41,0,1,0,0.00,1.25
1782767024,21079046,41,0,0,0,0.00,0.75
1782767025,21075305,44,0,0,0,0.00,0.76
1782767026,21078550,57,0,0,0,0.00,1.50
1782767027,21074355,62,0,0,0,0.00,1.26
1782767028,21078969,58,0,0,0,0.00,1.26
1782767029,21076976,44,0,0,0,0.00,0.50
1782767030,21076709,48,1,1,0,0.00,1.26
1782767031,21077804,47,0,0,0,0.00,1.50
1782767032,21078177,49,0,0,0,0.00,0.51
1782767033,21080172,48,0,0,0,0.00,1.01
1782767034,21080195,57,0,0,0,0.00,1.01
1782767035,21079340,48,0,0,0,0.00,0.76
1782767036,21077346,47,1,1,0,0.00,0.76
1782767037,21075308,46,1,2,0,0.00,1.50
1782767038,21079423,44,1,1,0,0.00,1.00
1782767039,21079847,46,0,0,0,0.00,1.25
1782767040,21082570,45,0,1,0,0.00,1.01
1782767041,21085665,41,0,0,0,0.00,0.75
1782767042,21111735,45,0,0,0,0.00,0.76
1782767043,21077865,26,1,1,0,0.00,0.75
1782767044,21072492,36,1,1,0,0.00,1.00
1782767045,21082803,48,0,0,0,0.00,1.26
1782767046,21084007,59,0,0,0,0.00,1.01
1782767047,21085895,57,1,1,0,0.00,0.76
1782767048,21081436,61,0,0,0,0.00,1.01
1782767049,21081827,53,0,0,0,0.00,0.76
1782767050,21082070,61,0,0,0,0.00,1.26
1782767051,21081487,54,0,1,0,0.00,1.50
1782767052,21077004,63,1,1,0,0.00,1.01
1782767053,21077424,45,0,0,0,0.00,1.00
1782767054,21075872,57,0,0,0,0.00,0.76
1782767055,21114118,51,1,1,0,0.00,1.01
1782767056,21075653,50,1,2,0,0.00,1.00
1782767057,21080164,44,0,0,0,0.00,1.01
1782767058,21114994,54,1,1,0,0.00,0.76
1782767059,21075717,59,0,0,0,0.00,1.26
1782767060,21080769,41,0,0,0,0.00,1.01
1782767061,21080464,47,1,1,0,0.00,1.01
1782767062,21076729,44,1,0,0,0.00,0.25
1782767063,21078052,44,0,0,0,0.00,0.76
1782767064,21079695,50,1,1,0,0.00,1.01
1782767065,21074730,36,0,0,0,0.00,0.50
1782767066,21075397,54,1,1,0,0.00,0.76
1782767067,21080185,59,0,0,0,0.00,1.50
1782767068,21075241,66,1,1,0,0.00,1.26
1782767069,21107387,48,0,0,0,0.00,0.76
1782767070,21075425,55,0,0,0,0.00,0.76
1782767071,21077584,51,0,0,0,0.00,1.00
1782767072,21078553,41,0,0,0,0.00,1.00
1782767073,21076820,53,0,0,0,0.00,0.51
1782767074,21079104,50,0,0,0,0.00,1.25
1782767075,21080249,52,0,0,0,0.00,1.25
1782767076,21079265,42,1,2,0,0.00,1.01
1782767077,21076049,29,0,1,0,0.00,0.25
1782767078,21080339,51,0,0,0,0.00,1.26
1782767079,21081147,52,0,0,0,0.00,0.76
1782767080,21077742,36,0,0,0,0.00,0.50
1782767081,21078042,47,0,0,0,0.00,0.50
1782767082,21075328,43,0,0,0,0.00,0.51
1782767083,21081526,53,0,0,0,0.00,0.76
1782767084,21080857,40,0,1,0,0.00,0.75
1782767085,21079152,47,0,0,0,0.00,1.25
1782767086,21078808,41,0,0,0,0.00,1.00
1782767087,21081023,55,0,0,0,0.00,1.26
1782767088,21076057,52,0,0,0,0.00,0.76
1782767089,21077139,57,0,0,0,0.00,0.76
1782767090,21078072,53,1,1,0,0.00,1.26
1782767091,21079584,34,0,0,0,0.00,1.00
1782767092,21076519,39,1,1,0,0.00,1.01
1782767093,21079085,43,0,0,0,0.00,0.75
1782767094,21115304,49,0,0,0,0.00,1.50
1782767095,21080072,51,0,0,0,0.00,1.01
1782767096,21077398,39,0,0,0,0.00,0.75
1782767097,21077699,42,0,0,0,0.00,0.25
1782767098,21076965,68,0,0,0,0.00,2.00
1782767099,21077695,53,0,0,0,0.00,0.76
1782767100,21078537,46,0,0,0,0.00,1.25
1782767101,21075843,66,0,1,0,0.00,1.26
1782767102,21114092,41,0,0,0,0.00,1.00
1782767103,21078286,18,0,0,0,0.00,0.25
1782767104,21078945,53,0,0,0,0.00,0.51
1782767105,21079246,43,1,1,0,0.00,1.25
1782767106,21074604,47,1,1,0,0.00,0.76
1782767107,21079397,62,0,0,0,0.00,0.76
1782767108,21080289,78,0,0,0,0.00,1.26
1782767109,21075719,83,0,0,0,0.00,1.52
1782767110,21079593,66,0,0,0,0.00,1.51
1782767111,21082327,47,2,2,0,0.00,1.25
1782767112,21079183,47,0,0,0,0.00,0.76
1782767113,21078700,60,1,2,0,0.00,1.50
1782767114,21079318,52,0,0,0,0.00,1.75
1782767115,21079734,49,0,0,0,0.00,0.76
1782767116,21079895,38,0,0,0,0.00,0.75
1782767117,21134802,46,0,0,0,0.00,0.76
1782767118,21079351,43,0,0,0,0.00,1.75
1782767119,21080781,51,0,0,0,0.00,0.51
1782767120,21080968,64,0,0,0,0.00,1.01
1782767121,21077462,57,0,0,0,0.00,1.50
1782767122,21114328,46,0,0,0,0.00,1.01
1782767123,21085470,57,2,4,0,0.00,1.76
1782767124,21076671,57,0,0,0,0.00,1.75
1782767125,21078815,56,0,0,0,0.00,1.01
1782767126,21085809,47,0,0,0,0.00,1.25
1782767127,21076143,57,0,1,0,0.00,1.26
1782767128,21081014,43,1,1,0,0.00,0.76
1782767129,21317348,49,0,0,0,0.00,1.50
1782767130,21080722,56,0,0,0,0.00,1.01
1782767131,21080767,58,0,0,0,0.00,1.01
1782767132,21075193,47,0,0,0,0.00,1.50
1782767133,21167438,54,0,0,0,0.00,0.76
1782767134,21080471,54,0,0,0,0.00,1.50
1782767135,21083613,62,0,1,0,0.00,1.51
1782767136,21113428,49,0,0,0,0.00,1.01
1782767137,21083979,46,0,0,0,0.00,1.01
1782767138,21079066,52,1,1,0,0.00,0.76
1782767139,21075983,50,0,0,0,0.00,1.25
1782767140,21078478,38,0,1,0,0.00,0.25
1782767141,21075771,42,0,0,0,0.00,1.25
1782767142,21081091,39,0,0,0,0.00,0.51
1782767143,21078552,37,0,0,0,0.00,1.00
1782767144,21078414,45,0,0,0,0.00,0.75
1782767145,21076981,53,0,0,0,0.00,0.51
1782767146,21075345,39,2,2,0,0.00,1.49
1782767147,21072049,39,0,0,0,0.00,1.25
1782767148,21124852,49,1,1,0,0.00,1.01
1782767149,21076775,52,0,0,0,0.00,1.99
1782767150,21086204,47,0,0,0,0.00,0.51
1782767151,21083556,36,0,0,0,0.00,0.75
1782767152,21081018,50,1,1,0,0.00,1.01
1782767153,21080308,50,0,0,0,0.00,1.25
1782767154,21118355,51,1,2,0,0.00,0.76
1782767155,21080678,43,0,1,0,0.00,1.01
1782767156,21113162,57,0,1,0,0.00,1.01
1782767157,21077789,41,0,0,0,0.00,1.00
1782767158,21110545,53,0,0,0,0.00,0.76
1782767159,21079037,69,0,0,0,0.00,1.76
1782767160,21077743,61,0,0,0,0.00,1.75
1782767161,21076611,61,1,1,0,0.00,1.01
1782767162,21109391,61,1,1,0,0.00,1.75
1782767163,21080249,29,0,0,0,0.00,0.50
1782767164,21106999,46,1,1,0,0.00,1.01
1782767165,21078025,45,0,0,0,0.00,0.75
1782767166,21107754,46,0,0,0,0.00,0.51
1782767167,21080406,54,0,0,0,0.00,1.01
1782767168,21080616,81,0,0,0,0.00,2.26
1782767169,21109425,58,0,0,0,0.00,1.26
1782767170,21080115,61,1,1,0,0.00,1.01
1782767171,21081435,65,0,1,0,0.00,1.26
1782767172,21075574,83,0,2,0,0.00,1.02
1782767173,21077374,67,1,1,0,0.00,1.75
1782767174,21079753,57,0,0,0,0.00,0.76
1782767175,21091043,60,0,0,0,0.00,1.76
1782767176,21076558,58,1,1,0,0.00,1.01
1782767177,21079110,52,1,0,0,0.00,0.76
1782767178,21084167,47,0,0,0,0.00,0.76
1782767179,21081313,52,0,0,0,0.00,1.01
1782767180,21085860,41,1,1,0,0.00,1.25
1782767181,21082080,57,1,2,0,0.00,1.75
1782767182,21080440,66,4,2,0,0.00,1.51
1782767183,21081723,62,0,0,0,0.00,1.01
1782767184,21076084,56,0,0,0,0.00,1.26
1782767185,21078315,42,0,0,0,0.00,0.50
1782767186,21077791,47,0,0,0,0.00,0.75
1782767187,21080137,51,0,2,0,0.00,1.01
1782767188,21074155,48,0,0,0,0.00,1.26
1782767189,21077398,49,0,0,0,0.00,0.51
1782767190,21082208,53,1,1,0,0.00,1.01
1782767191,21082492,54,0,0,0,0.00,0.76
1782767192,21077365,39,0,0,0,0.00,0.75
1782767193,21084119,57,0,0,0,0.00,1.51
1782767194,21082753,52,0,1,0,0.00,1.75
1782767195,21074673,50,1,1,0,0.00,0.25
1782767196,21080089,39,0,1,0,0.00,0.76
1782767197,21076759,43,0,0,0,0.00,0.75
1782767198,21082185,37,1,1,0,0.00,0.75
1782767199,21078398,52,0,0,0,0.00,0.51
1782767200,21118626,34,0,0,0,0.00,0.51
1782767201,21075162,55,0,1,0,0.00,0.51
1782767202,21111286,42,2,1,0,0.00,1.51
1782767203,21081791,40,0,0,0,0.00,0.25
1782767204,21079697,49,1,1,0,0.00,1.01
1782767205,21082764,28,1,1,0,0.00,0.50
1782767206,21126513,64,1,1,0,0.00,1.76
1782767207,21079226,69,1,1,0,0.00,2.00
1782767208,21079861,55,1,1,0,0.00,0.51
1782767209,21075345,49,1,1,0,0.00,1.25
1782767210,21085001,33,0,0,0,0.00,0.50
1782767211,21108724,19,0,0,0,0.00,0.50
1782767212,21082713,41,0,0,0,0.00,0.25
1782767213,21078583,61,1,1,0,0.00,1.26
1782767214,21078207,44,1,1,0,0.00,1.01
1782767215,21081222,48,0,0,0,0.00,0.51
1782767216,21127367,47,0,0,0,0.00,1.01
1782767217,21085601,62,0,0,0,0.00,0.76
1782767218,21077641,48,0,0,0,0.00,0.76
1782767219,21076302,47,0,0,0,0.00,0.76
1782767220,21085175,45,0,0,0,0.00,0.50
1782767221,21078742,52,0,0,0,0.00,0.76
1782767222,21079761,43,0,1,0,0.00,0.50
1782767223,21082348,21,0,0,0,0.00,0.25
1782767224,21077336,25,0,0,0,0.00,1.24
1782767225,21078892,44,1,1,0,0.00,0.51
1782767226,21077952,51,0,0,0,0.00,1.25
1782767227,21076132,43,0,0,0,0.00,0.25
1782767228,21076974,50,0,0,0,0.00,1.50
1782767229,21076362,42,0,0,0,0.00,1.01
1782767230,21079817,59,0,1,0,0.00,1.51
1782767231,21075465,60,0,0,0,0.00,1.26
1782767232,21080650,65,0,0,0,0.00,1.26
1782767233,21117922,68,1,1,0,0.00,2.00
1782767234,21077908,59,1,2,0,0.00,0.51
1782767235,21077326,49,0,0,0,0.00,0.76
1782767236,21071957,67,0,0,0,0.00,1.26
1782767237,21077947,53,0,0,0,0.00,1.25
1782767238,21077745,59,0,0,0,0.00,0.76
1782767239,21080984,38,1,1,0,0.00,0.50
1782767240,21076573,54,1,1,0,0.00,1.01
1782767241,21081801,48,0,0,0,0.00,1.25
1782767242,21081775,33,0,1,0,0.00,0.50
1782767243,21077273,29,1,1,0,0.00,1.00
1782767244,21075121,60,1,1,0,0.00,1.01
1782767245,21081723,54,0,0,0,0.00,0.51
1782767246,21079789,51,0,1,0,0.00,0.51
1782767247,21080255,55,0,0,0,0.00,1.26
1782767248,21074632,54,0,0,0,0.00,1.01
1782767249,21076670,44,0,0,0,0.00,1.25
1782767250,21080172,34,1,1,0,0.00,1.00
1782767251,21108417,60,0,0,0,0.00,0.76
1782767252,21076095,30,1,1,0,0.00,0.50
1782767253,21080913,32,0,0,0,0.00,0.50
1782767254,21079433,67,0,0,0,0.00,1.76
1782767255,21074157,49,0,0,0,0.00,1.25
1782767256,21079510,59,0,0,0,0.00,1.75
1782767257,21078617,43,0,0,0,0.00,0.25
1782767258,21078042,44,0,0,0,0.00,1.00
1782767259,21077576,60,0,0,0,0.00,1.26
1782767260,21079459,52,0,0,0,0.00,1.01
1782767261,21077856,45,0,0,0,0.00,1.00
1782767262,21077977,34,0,0,0,0.00,0.25
1782767263,21074769,47,0,0,0,0.00,0.51
1782767264,21074691,46,0,1,0,0.00,1.50
1782767265,21078732,43,1,0,0,0.00,0.50
1782767266,21077934,45,0,0,0,0.00,1.01
1782767267,21077766,58,0,0,0,0.00,1.25
1782767268,21073644,53,0,1,0,0.00,0.76
1782767269,21074475,53,0,0,0,0.00,1.01
1782767270,21082289,42,0,0,0,0.00,1.01
1782767271,21080525,48,0,0,0,0.00,0.76
1782767272,21077776,44,0,0,0,0.00,1.25
1782767273,21077791,39,0,0,0,0.00,1.00
1782767274,21075832,60,0,0,0,0.00,0.51
1782767275,21075493,56,0,0,0,0.00,2.00
1782767276,21081616,62,1,0,0,0.00,1.01
1782767277,21078681,40,0,0,0,0.00,0.50
1782767278,21080595,52,0,1,0,0.00,1.50
1782767279,21080377,62,0,0,0,0.00,1.01
1782767280,21078498,59,0,0,0,0.00,1.01
1782767281,21080061,52,0,0,0,0.00,1.01
1782767282,21079180,51,1,1,0,0.00,1.01
1782767283,21080699,20,0,0,0,0.00,0.50
1782767284,21084046,53,0,0,0,0.00,1.50
1782767285,21079741,38,1,1,0,0.00,0.75
1782767286,21080858,53,0,0,0,0.00,1.01
1782767287,21076874,67,0,0,0,0.00,0.25
1782767288,21077531,83,0,0,0,0.00,2.26
1782767289,21081317,87,0,0,0,0.00,1.51
1782767290,21083597,39,0,0,0,0.00,0.76
1782767291,21079319,50,0,0,0,0.00,1.01
1782767292,21079160,55,1,1,0,0.00,1.26
1782767293,21088692,53,0,0,0,0.00,0.51
1782767294,21079271,62,1,1,0,0.00,1.50
1782767295,21079698,42,1,1,0,0.00,1.25
1782767296,21075390,51,0,0,0,0.00,1.25
1782767297,21079576,51,0,0,0,0.00,1.25
1782767298,21110746,55,0,0,0,0.00,1.01
1782767299,21078013,58,0,0,0,0.00,1.26
1782767300,21080754,32,0,0,0,0.00,1.00
1782767301,21088238,66,0,0,0,0.00,2.26
1782767302,21075831,49,1,1,0,0.00,1.25
1782767303,21075564,51,0,0,0,0.00,1.01
1782767304,21082437,47,1,1,0,0.00,0.76
1782767305,21081293,45,1,0,0,0.00,0.75
1782767306,21076403,53,0,0,0,0.00,1.26
1782767307,21090476,37,1,1,0,0.00,1.00
1782767308,21076429,27,0,0,0,0.00,0.25
1782767309,21082594,70,1,1,0,0.00,1.26
1782767310,21081054,63,0,0,0,0.00,0.76
1782767311,21080978,57,1,2,0,0.00,0.51
1782767312,21075020,56,0,0,0,0.00,1.01
1782767313,21079848,33,0,0,0,0.00,0.50
1782767314,21081190,39,0,0,0,0.00,0.50
1782767315,21082173,69,0,1,0,0.00,2.00
1782767316,21079305,62,1,1,0,0.00,1.01
1782767317,21082170,46,1,1,0,0.00,1.25
1782767318,21074884,58,0,0,0,0.00,1.01
1782767319,21093539,30,0,0,0,0.00,0.25
1782767320,21085011,61,0,0,0,0.00,0.25
1782767321,21082320,42,0,0,0,0.00,0.75
1782767322,21085363,47,0,0,0,0.00,1.25
1782767323,21078410,49,2,2,0,0.00,0.51
1782767324,21077972,43,0,0,0,0.00,1.25
1782767325,21118579,62,0,0,0,0.00,1.01
1782767326,21084242,61,0,0,0,0.00,1.26
1782767327,21082358,54,0,0,0,0.00,0.76
1782767328,21077717,46,1,1,0,0.00,1.25
1782767329,21080060,51,1,1,0,0.00,1.00
1782767330,21078605,41,0,0,0,0.00,1.25
1782767331,21078091,47,0,0,0,0.00,1.26
1782767332,21080654,63,0,0,0,0.00,1.51
